subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
math,dtm,mathbb_mathbb,emerging,emerging,True,0.238632,1e-06,0.6514,15,57.7
math,dtm,mathbb,emerging,emerging,True,0.147009,0.004422,0.2914,13,50.0
math,dtm,graph,emerging,stable,False,-0.17265,0.321474,0.041,24,92.3
math,dtm,optimization,emerging,emerging,True,0.091624,0.000112,0.4694,9,34.6
math,dtm,mathcal_mathcal,emerging,emerging,True,0.136068,0.00224,0.3278,12,46.2
math,dtm,algorithm,emerging,emerging,True,0.170598,2e-06,0.62,20,76.9
math,dtm,mathcal,emerging,emerging,True,0.18188,0.003632,0.3021,12,46.2
math,dtm,numerical,emerging,emerging,True,0.17641,0.000351,0.419,14,57.7
math,dtm,stochastic,emerging,emerging,True,0.091624,0.00074,0.3837,15,57.7
math,dtm,network,emerging,emerging,True,0.370598,0.000869,0.3758,10,38.5
math,dtm,optimal,emerging,emerging,True,0.246838,0.008153,0.2574,11,42.3
math,dtm,convergence,emerging,emerging,True,0.168547,0.020301,0.2047,15,57.7
math,dtm,datum,emerging,emerging,True,0.144615,0.007263,0.2639,11,46.2
math,dtm,control,emerging,emerging,True,0.115556,0.009969,0.246,9,34.6
math,dtm,frac,emerging,emerging,True,0.203419,0.017164,0.2146,11,42.3
math,dtm,approximation,emerging,emerging,True,0.322051,0.006391,0.2711,14,53.8
math,dtm,error,emerging,emerging,True,0.214359,0.000636,0.391,8,30.8
math,dtm,gradient,emerging,emerging,True,0.089915,0.000682,0.3877,5,19.2
math,dtm,mathrm,emerging,emerging,True,0.088889,0.006271,0.2721,4,15.4
math,dtm,dynamic,emerging,emerging,True,0.179487,0.000132,0.4624,11,42.3
math,dtm,function,stable,decaying,False,-1.320342,0.00013,0.4632,26,100.0
math,dtm,property,stable,stable,True,-0.283077,0.085934,0.1179,26,100.0
math,dtm,set,stable,decaying,False,-0.510769,0.018939,0.2088,26,100.0
math,dtm,non,stable,decaying,False,-0.528547,0.004599,0.2893,26,100.0
math,dtm,matrix,stable,stable,True,-0.129915,0.172292,0.0762,26,100.0
math,dtm,local,stable,stable,True,0.120684,0.343403,0.0375,17,84.6
math,dtm,measure,stable,stable,True,0.131282,0.387608,0.0313,18,84.6
math,dtm,boundary,stable,stable,True,0.261538,0.091812,0.1139,17,73.1
math,dtm,term,stable,stable,True,-0.108718,0.392519,0.0306,23,96.2
math,dtm,type,stable,decaying,False,-0.735385,0.000258,0.433,26,100.0
math,dtm,limit,stable,emerging,False,0.175726,0.013777,0.2274,16,69.2
math,dtm,point,stable,decaying,False,-0.629402,3.4e-05,0.5183,26,100.0
math,dtm,coefficient,stable,emerging,False,0.113504,0.001796,0.3393,12,53.8
math,dtm,space,stable,decaying,False,-1.489573,0.000135,0.4617,26,100.0
math,dtm,sum,stable,emerging,False,0.282393,0.000146,0.4583,17,69.2
math,dtm,degree,stable,emerging,False,0.150769,0.017994,0.2118,15,65.4
math,dtm,rank,stable,emerging,False,0.087521,0.00063,0.3915,6,42.3
math,dtm,condition,stable,stable,True,-0.020171,0.889635,0.0008,20,92.3
math,dtm,positive,stable,emerging,False,0.270769,0.000682,0.3876,14,53.8
math,dtm,constant,stable,emerging,False,0.296068,0.000609,0.3931,15,65.4
math,dtm,group,decaying,decaying,True,-0.993846,0.004336,0.2925,26,100.0
math,dtm,algebra,decaying,decaying,True,-1.679658,0.0,0.6931,26,100.0
math,dtm,manifold,decaying,decaying,True,-1.243419,0.0,0.7389,26,100.0
math,dtm,quantum,decaying,decaying,True,-0.236239,0.002725,0.3174,8,76.9
math,dtm,invariant,decaying,decaying,True,-0.564444,0.000363,0.4175,26,100.0
math,dtm,theory,decaying,decaying,True,-1.734017,0.0,0.6991,26,100.0
math,dtm,cohomology,decaying,stable,False,-0.033162,0.066321,0.1336,1,7.7
math,dtm,representation,decaying,stable,False,-0.258803,0.148156,0.0851,26,100.0
math,dtm,structure,decaying,decaying,True,-1.118974,2e-06,0.6253,26,100.0
math,dtm,curve,decaying,stable,False,-0.034872,0.659786,0.0082,16,84.6
math,dtm,algebraic,decaying,stable,False,-0.017094,0.695974,0.0065,7,84.6
math,dtm,module,decaying,stable,False,0.068034,0.21981,0.062,6,73.1
math,dtm,surface,decaying,stable,False,-0.106325,0.415443,0.0278,26,100.0
math,dtm,geometry,decaying,stable,False,-0.02735,0.296561,0.0453,4,38.5
math,dtm,theorem,decaying,decaying,True,-0.882393,0.000324,0.4226,26,100.0
math,dtm,symplectic,decaying,stable,False,0.0,1.0,0.0,0,0.0
math,dtm,algebras,decaying,stable,False,-0.006496,0.21177,0.0642,1,3.8
math,dtm,action,decaying,emerging,False,0.105983,0.019547,0.2069,5,53.8
math,dtm,deformation,decaying,stable,False,-0.014359,0.165929,0.0784,1,3.8
math,dtm,projective,decaying,stable,False,-0.005812,0.506306,0.0186,1,11.5
