subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,18,2000–2005,2020–2025,0.543151,0.456849,27,17,9,18,8,33.33,"galois, group, groups, ell, field, gal, newton, polygon, abelian, bala, carter, polygons, unipotent, bf, bg, classifying, drinfel, finite, hyperelliptic, mathbf, octahedral, pgl, reciprocity, reversing, symmetries, varieties, vigneras","galois, gg, group, groups, mathbb, mathrm, gl, pp, representations, ell, field, bf, finite, mathbf, operatorname, pgl, rm","bf, ell, field, finite, galois, group, groups, mathbf, pgl","gg, gl, mathbb, mathrm, operatorname, pp, representations, rm","abelian, bala, bg, carter, classifying, drinfel, gal, hyperelliptic, newton, octahedral, polygon, polygons, reciprocity, reversing, symmetries, unipotent, varieties, vigneras"
math,19,2000–2005,2020–2025,0.469721,0.530279,25,15,8,17,7,32.0,"group, surfaces, curves, surface, k3, moduli, ak, bbb, genus, covers, cubic, curve, restrained, space, aut, automorphism, bp, cornalba, danielewski, extremal, hyperelliptic, quadruple, ramification, smooth, tautological","curves, group, hyperelliptic, mathbb, mathcal, surface, surfaces, genus, k3, groups, mathrm, ell, leqslant, moduli, projective","curves, genus, group, hyperelliptic, k3, moduli, surface, surfaces","ell, groups, leqslant, mathbb, mathcal, mathrm, projective","ak, aut, automorphism, bbb, bp, cornalba, covers, cubic, curve, danielewski, extremal, quadruple, ramification, restrained, smooth, space, tautological"
math,20,2000–2005,2020–2025,0.224581,0.775419,25,20,5,20,15,20.0,"random, density, dinger, discrepancy, drunkard, ids, integrated, lim, moderate, moving, potentials, schr, walk, aging, average, conservative, deviations, glauber, kawasaki, lpy, rate, sinai, spectral, time, to0","dinger, estimates, frac, mathbb, random, schr, equation, infty, potentials, decay, big, cdot, grazing, grushin, int, limit, log, measure, modulated, time","dinger, potentials, random, schr, time","big, cdot, decay, equation, estimates, frac, grazing, grushin, infty, int, limit, log, mathbb, measure, modulated","aging, average, conservative, density, deviations, discrepancy, drunkard, glauber, ids, integrated, kawasaki, lim, lpy, moderate, moving, rate, sinai, spectral, to0, walk"
math,21,2000–2005,2020–2025,0.109153,0.890847,39,15,5,34,10,12.82,"random, walk, walker, gessel, goe, hull, intersecting, measures, model, packing, past, speed, tilings, virag, angel, avoiding, aztec, ballistic, balls, benjamini, brownian, bus, car, deposition, fredholm, gaussian, grain, growth, limit, limiting, packed, process, regime, renyi, rhombus, saw, scenery, spatial, thermodynamic","distribution, gaussian, limit, mathbb, process, random, walk, processes, ell, walks, convergence, time, poisson, scaling, varepsilon","gaussian, limit, process, random, walk","convergence, distribution, ell, mathbb, poisson, processes, scaling, time, varepsilon, walks","angel, avoiding, aztec, ballistic, balls, benjamini, brownian, bus, car, deposition, fredholm, gessel, goe, grain, growth, hull, intersecting, limiting, measures, model"
math,22,2000–2005,2020–2025,0.671158,0.328842,18,14,8,10,6,44.44,"curvature, einstein, metric, metrics, kaehler, kahler, manifolds, ricci, dkp, flow, ew, hler, conformally, ij, lagrangian, mabuchi, overset, xd","curvature, einstein, hler, manifolds, metrics, ricci, conformal, flow, metric, riemannian, manifold, mathbb, soliton, su","curvature, einstein, flow, hler, manifolds, metric, metrics, ricci","conformal, manifold, mathbb, riemannian, soliton, su","conformally, dkp, ew, ij, kaehler, kahler, lagrangian, mabuchi, overset, xd"
math,23,2000–2005,2020–2025,0.672238,0.327762,24,20,8,16,12,33.33,"algebra, lie, algebras, frak, superalgebra, superalgebras, enveloping, osp, schur, basis, ca, cal, kostant, presentation, amitsur, bar, basic, brackets, km, levitzki, mathfrak, su, truncated, uce","algebra, algebras, lie, mathfrak, superalgebra, superalgebras, osp, gl, mathcal, frak, hom, mathrm, modules, pe, pseudoforms, sfp, sl, subalgebra, super, supersymmetric","algebra, algebras, frak, lie, mathfrak, osp, superalgebra, superalgebras","gl, hom, mathcal, mathrm, modules, pe, pseudoforms, sfp, sl, subalgebra, super, supersymmetric","amitsur, bar, basic, basis, brackets, ca, cal, enveloping, km, kostant, levitzki, presentation, schur, su, truncated, uce"
math,24,2000–2005,2020–2025,0.353687,0.646313,31,20,12,19,8,38.71,"kodaira, projective, complex, dimension, bundles, hodge, holomorphic, bbb, bundle, cohomology, dominable, fibre, smooth, surfaces, bold, cc, cic, curves, degeneration, families, fibration, jet, kbm, linkage, manifolds, multiplicity, polar, sheaf, splice, subextremal, viehweg","hodge, holomorphic, varieties, cohomology, kodaira, bundles, hler, complex, k3, projective, singularities, manifold, manifolds, smooth, astheno, bundle, curves, dimension, vaisman, xx","bundle, bundles, cohomology, complex, curves, dimension, hodge, holomorphic, kodaira, manifolds, projective, smooth","astheno, hler, k3, manifold, singularities, vaisman, varieties, xx","bbb, bold, cc, cic, degeneration, dominable, families, fibration, fibre, jet, kbm, linkage, multiplicity, polar, sheaf, splice, subextremal, surfaces, viehweg"
math,25,2000–2005,2020–2025,0.338057,0.661943,28,20,7,21,13,25.0,"hyperbolic, metric, geodesics, valuation, boundary, dr, geodesic, homology, punctured, tori, hyperbolicity, lamination, mu, teich, teichmueller, associates, esf, gromov, im, ller, norm, rth, simple, surface, teichm, teichmuller, tits, torus","boundary, geodesic, hyperbolic, ller, metric, teichm, surfaces, geodesics, mathbb, thurston, qg, convex, geod, laminations, maps, mathcal, measured, partial, space, varphi","boundary, geodesic, geodesics, hyperbolic, ller, metric, teichm","convex, geod, laminations, maps, mathbb, mathcal, measured, partial, qg, space, surfaces, thurston, varphi","associates, dr, esf, gromov, homology, hyperbolicity, im, lamination, mu, norm, punctured, rth, simple, surface, teich, teichmueller, teichmuller, tits, tori, torus"
math,26,2000–2005,2020–2025,0.378072,0.621928,36,18,8,28,10,22.22,"walks, random, probability, walk, computing, gnrn, lambda, metastable, rates, stationary, time, undecidable, walker, chaos, composition, deviation, displacement, distribution, environment, erased, exit, exp, goe, graph, kth, lyapunov, lyopem, markov, multiplexed, removeable, return, self, semistandard, state, structures, walkers","markov, random, time, walk, walks, graphs, process, chain, probability, chains, graph, mathbb, mixing, processes, ell, environment, meander, rcrs","environment, graph, markov, probability, random, time, walk, walks","chain, chains, ell, graphs, mathbb, meander, mixing, process, processes, rcrs","chaos, composition, computing, deviation, displacement, distribution, erased, exit, exp, gnrn, goe, kth, lambda, lyapunov, lyopem, metastable, multiplexed, rates, removeable, return"
math,27,2000–2005,2020–2025,0.163931,0.836069,28,17,7,21,10,25.0,"macaulay, cohen, fa, gamma, kappa, module, popescu, rees, ring, rings, scr, aleph, algebras, eisenbud, gorenstein, macaulayfication, modules, resolution, schreyer, spec, algebra, buchsbaum, cd, commutative, exterior, r1mf, singularities, wehrung","gorenstein, modules, ring, rings, mathcal, mathfrak, rr, mathrm, module, macaulay, noetherian, cohen, ext, injective, mod, rm, ss","cohen, gorenstein, macaulay, module, modules, ring, rings","ext, injective, mathcal, mathfrak, mathrm, mod, noetherian, rm, rr, ss","aleph, algebra, algebras, buchsbaum, cd, commutative, eisenbud, exterior, fa, gamma, kappa, macaulayfication, popescu, r1mf, rees, resolution, schreyer, scr, singularities, spec"
