subject,window_from,window_to,transition,avg_sim,avg_drift,std_drift,n_topics
math,2000–2005,2005–2010,2000–2005 → 2005–2010,0.4365040344827586,0.5634959655172413,0.17492767596402303,58
math,2005–2010,2010–2015,2005–2010 → 2010–2015,0.6018860327868853,0.39811396721311476,0.151603770951997,61
math,2010–2015,2015–2020,2010–2015 → 2015–2020,0.6746027580645161,0.32539724193548386,0.12036359249465428,62
math,2015–2020,2020–2025,2015–2020 → 2020–2025,0.720301126984127,0.27969887301587304,0.12909015585359793,63
