subject,year_from,year_to,avg_sim,avg_drift,n_topics
math,2000,2001,0.33602652173913045,0.6639734782608696,46
math,2001,2002,0.3276986382978723,0.6723013617021276,47
math,2002,2003,0.33239463265306124,0.6676053673469388,49
math,2003,2004,0.32504952000000004,0.67495048,50
math,2004,2005,0.32891122222222224,0.6710887777777778,54
math,2005,2006,0.3486555,0.6513445,54
math,2006,2007,0.37059912500000003,0.629400875,56
math,2007,2008,0.36058029999999996,0.6394196999999999,60
math,2008,2009,0.38268033898305087,0.6173196610169492,59
math,2009,2010,0.4030829661016949,0.5969170338983051,59
math,2010,2011,0.40073529508196726,0.5992647049180327,61
math,2011,2012,0.4164672258064516,0.5835327741935484,62
math,2012,2013,0.456090935483871,0.543909064516129,62
math,2013,2014,0.4499366612903226,0.5500633387096774,62
math,2014,2015,0.4586765,0.5413235000000001,62
math,2015,2016,0.4543990161290323,0.5456009838709678,62
math,2016,2017,0.46279385483870966,0.5372061451612903,62
math,2017,2018,0.4733388095238095,0.5266611904761904,63
math,2018,2019,0.4862029206349206,0.5137970793650793,63
math,2019,2020,0.48478165079365076,0.5152183492063492,63
math,2020,2021,0.48536003174603176,0.5146399682539682,63
math,2021,2022,0.5074796349206349,0.4925203650793651,63
math,2022,2023,0.5086897777777777,0.4913102222222222,63
math,2023,2024,0.5096502222222222,0.4903497777777778,63
math,2024,2025,0.5325297936507937,0.46747020634920633,63
