subject,year,avg_sim,avg_drift,n_topics
math,2000,1.0,0.0,49
math,2001,0.5959183673469388,0.40408163265306124,49
math,2002,0.4075471698113208,0.5924528301886792,53
math,2003,0.2980769230769231,0.7019230769230769,52
math,2004,0.22181818181818183,0.7781818181818181,55
math,2005,0.19824561403508772,0.8017543859649123,57
math,2006,0.20535714285714285,0.7946428571428571,56
math,2007,0.20833333333333334,0.7916666666666666,60
math,2008,0.2098360655737705,0.7901639344262296,61
math,2009,0.2033898305084746,0.7966101694915254,59
math,2010,0.20491803278688525,0.7950819672131147,61
math,2011,0.20967741935483872,0.7903225806451613,62
math,2012,0.2064516129032258,0.7935483870967742,62
math,2013,0.2032258064516129,0.7967741935483871,62
math,2014,0.2064516129032258,0.7935483870967742,62
math,2015,0.21290322580645163,0.7870967741935483,62
math,2016,0.19838709677419356,0.8016129032258065,62
math,2017,0.2126984126984127,0.7873015873015873,63
math,2018,0.2111111111111111,0.788888888888889,63
math,2019,0.2126984126984127,0.7873015873015873,63
math,2020,0.20476190476190476,0.7952380952380953,63
math,2021,0.19999999999999998,0.7999999999999999,63
math,2022,0.20317460317460317,0.7968253968253969,63
math,2023,0.20476190476190476,0.7952380952380953,63
math,2024,0.19365079365079363,0.8063492063492063,63
math,2025,0.2015873015873016,0.7984126984126984,63
