subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
math,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.489399,0.510601,"toric, witten, mirror, yau, calabi, moduli, ring, varieties, cohomology, hypersurfaces, monopoles, seiberg, semiample, chiral, degenerations, del, genus, gromov, ord, pezzo, rings, roberts, stack, teichmueller, textbf, tilde, varities, wronskian","witten, yau, calabi, cohomology, gromov, toric, mirror, check, chow, gaminf, varieties, adic, degenerations, drinfeld, fuchs, hypersurfaces, invariants, langlands, local, lubin, mathbb, quintic, ring, tate, teichmueller, vafa"
math,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.584154,0.415846,"witten, yau, calabi, cohomology, gromov, toric, mirror, check, chow, gaminf, varieties, adic, degenerations, drinfeld, fuchs, hypersurfaces, invariants, langlands, local, lubin, mathbb, quintic, ring, tate, teichmueller, vafa","calabi, yau, cohomology, mirror, toric, witten, langlands, mathbb, varieties, gromov, local, mathcal, threefold, 2n, adic, bf, bgo, correspondence, gl, hw, inertial, maschke, moduli, quintic, ring, ron, stacks, tmf"
math,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.524451,0.475549,"calabi, yau, cohomology, mirror, toric, witten, langlands, mathbb, varieties, gromov, local, mathcal, threefold, 2n, adic, bf, bgo, correspondence, gl, hw, inertial, maschke, moduli, quintic, ring, ron, stacks, tmf","calabi, hodge, mathbb, varieties, yau, cohomology, group, mathcal, chow, mathrm, mirror, perp, tmf, toric, witt, breve, correspondence, gromov, holed, inertial, mathfrak, mathsf, moduli, ring, smooth, witten"
math,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.421211,0.578789,"calabi, hodge, mathbb, varieties, yau, cohomology, group, mathcal, chow, mathrm, mirror, perp, tmf, toric, witt, breve, correspondence, gromov, holed, inertial, mathfrak, mathsf, moduli, ring, smooth, witten","cohomology, mathbb, mathcal, mathrm, group, mirror, toric, hodge, witten, calabi, moduli, yau, breve, ch, check, chow, invariants, langlands, mathsf, rham, text, textsf, varieties"
math,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.22194,0.77806,"inequalities, laplacian, bergman, det, ij, inequality, log, manifold, riesz, 4m, bigcap, boundary, clamped, coverings, dispersion, domain, eigenvalue, energy, estimate, f3, growing, isoperimetric, lambda, leq, liouville, lip, mm, monic, nonlinear, pl, plate, plb, polynomially, profile, qtext, radius, remainder, segment, sobolev, solutions, subset, surface, transform, vibrating, weinberger","inequality, domains, inequalities, manifolds, sobolev, buckling, eigenvalue, eigenvalues, hardy, inf, laplacian, le, nabla, riesz, spectral, sup, absolute, ball, bf, bohr, boundary, clusters, coverings, dispersion, estimates, euclidean, functions, growing, liouville, lip, mathbb, om, polynomially, ql, remez, solutions, sphere, surface"
math,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.469861,0.530139,"inequality, domains, inequalities, manifolds, sobolev, buckling, eigenvalue, eigenvalues, hardy, inf, laplacian, le, nabla, riesz, spectral, sup, absolute, ball, bf, bohr, boundary, clusters, coverings, dispersion, estimates, euclidean, functions, growing, liouville, lip, mathbb, om, polynomially, ql, remez, solutions, sphere, surface","inequalities, estimates, sobolev, domains, eigenvalue, eigenvalues, inequality, laplacian, bounds, hardy, manifolds, riemannian, sharp, vert, buckling, capacity, curvature, dots, estimate, fundamentality, lip, lower, mathbb, sphere, steklov"
math,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.561526,0.438474,"inequalities, estimates, sobolev, domains, eigenvalue, eigenvalues, inequality, laplacian, bounds, hardy, manifolds, riemannian, sharp, vert, buckling, capacity, curvature, dots, estimate, fundamentality, lip, lower, mathbb, sphere, steklov","eigenvalue, inequalities, inequality, estimates, laplacian, sobolev, hardy, mathbb, frac, infty, bounds, domains, eigenfunctions, eigenvalues, sharp, dirichlet, sup, vert"
math,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.614536,0.385464,"eigenvalue, inequalities, inequality, estimates, laplacian, sobolev, hardy, mathbb, frac, infty, bounds, domains, eigenfunctions, eigenvalues, sharp, dirichlet, sup, vert","estimates, inequalities, laplacian, mathbb, domains, eigenvalue, inequality, eigenvalues, sobolev, hardy, boundary, dirichlet, frac, steklov, bounds, infty"
math,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.583977,0.416023,"algebra, algebras, bethe, lie, lusztig, vertex, xxz, baxter, gaudin, ggs, hexagon, kazhdan, sl, affine, avoiding, belavin, bh, dynamical, equation, gervais, irf, jordanian, master, moody, opers, quantum, roots, schubert, spin, varieties, yangians","algebra, algebras, weyl, affine, quantum, lie, lusztig, chi, hat, kazhdan, module, modules, sl, virasoro, weight, bethe, bh, cala, cells, dinger, dy, enveloping, gaudin, mills, opers, qsl, varieties, vertex, yang"
math,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.635903,0.364097,"algebra, algebras, weyl, affine, quantum, lie, lusztig, chi, hat, kazhdan, module, modules, sl, virasoro, weight, bethe, bh, cala, cells, dinger, dy, enveloping, gaudin, mills, opers, qsl, varieties, vertex, yang","algebra, algebras, quantum, bethe, lie, cluster, sl, affine, cpm, fg, gaudin, mathfrak, modules, affinisations, coordinated, fh, hat, lusztig, model, onsager, spin, superintegrable, vertex, virasoro, weyl, yang, yangian, yangians"
