word,category,slope,r_squared,early_avg,late_avg,overall_avg,first_year,n_present
mathbb,emerging,0.00116594,0.9021,0.008838,0.02794,0.018046,2000,26
mathcal,emerging,0.00073613,0.9196,0.006199,0.018075,0.011831,2000,26
mathrm,emerging,0.0003708,0.9138,0.001034,0.006695,0.003626,2002,24
optimization,emerging,0.00035163,0.9267,0.001139,0.006586,0.003739,2000,26
method,emerging,0.00032618,0.8532,0.007467,0.012955,0.010134,2000,26
numerical,emerging,0.00030616,0.9475,0.003103,0.008029,0.005555,2000,26
control,emerging,0.00030114,0.9299,0.002442,0.007236,0.0048,2000,26
frac,emerging,0.00029942,0.8847,0.003423,0.008029,0.005661,2000,26
data,emerging,0.00029567,0.9566,0.004285,0.008659,0.006385,2000,26
optimal,emerging,0.00029548,0.9576,0.003481,0.007973,0.005731,2000,26
convergence,emerging,0.00029146,0.9678,0.003781,0.008248,0.006006,2000,26
time,emerging,0.000291,0.9344,0.008433,0.012878,0.010639,2000,26
learning,emerging,0.00027326,0.799,0.000294,0.004309,0.002088,2001,23
graphs,emerging,0.00026032,0.8032,0.005327,0.009257,0.007447,2000,26
stochastic,emerging,0.00025236,0.8852,0.003804,0.00764,0.005782,2000,26
varepsilon,emerging,0.00024983,0.9012,0.000122,0.004179,0.002095,2009,16
based,emerging,0.00023379,0.9145,0.005752,0.00938,0.007496,2000,26
problems,emerging,0.00023304,0.8855,0.0059,0.009685,0.007694,2000,26
graph,emerging,0.00023034,0.8001,0.006274,0.009739,0.008234,2000,26
algorithm,emerging,0.00022732,0.8712,0.004796,0.008263,0.006587,2000,26
function,stable,7.16e-06,0.0097,0.011444,0.011548,0.01151,2000,26
results,stable,2.415e-05,0.2188,0.012484,0.012909,0.012712,2000,26
study,stable,-9.53e-06,0.0266,0.011365,0.011099,0.011175,2000,26
non,stable,-2.895e-05,0.1268,0.012558,0.012222,0.012349,2000,26
paper,stable,-4.846e-05,0.4746,0.014226,0.013502,0.013876,2000,26
number,stable,-2.433e-05,0.0489,0.011431,0.01098,0.011151,2000,26
set,stable,-1.486e-05,0.0375,0.010076,0.010031,0.010174,2000,26
new,stable,-2.366e-05,0.0925,0.010362,0.010203,0.010298,2000,26
prove,stable,-7.223e-05,0.7785,0.013888,0.01272,0.013347,2000,26
functions,stable,-7.637e-05,0.4702,0.012896,0.012075,0.01253,2000,26
point,stable,1.48e-06,0.0009,0.007006,0.007161,0.007089,2000,26
properties,stable,9.85e-06,0.0125,0.007615,0.007776,0.007656,2000,26
result,stable,-3.798e-05,0.2467,0.009934,0.009307,0.009581,2000,26
free,stable,-4.42e-06,0.0029,0.006822,0.006688,0.006775,2000,26
type,stable,-6.725e-05,0.4323,0.011237,0.01032,0.010736,2000,26
local,stable,-2.009e-05,0.0453,0.00781,0.007528,0.007618,2000,26
finite,stable,-0.00010157,0.6795,0.013631,0.012042,0.012759,2000,26
consider,stable,1.24e-05,0.0285,0.006922,0.007157,0.007098,2000,26
generalized,stable,-2.58e-06,0.0009,0.00626,0.006311,0.00632,2000,26
matrix,stable,1.292e-05,0.0178,0.006511,0.006966,0.006749,2000,26
algebra,decaying,-0.00051398,0.8731,0.014923,0.007368,0.010943,2000,26
algebras,decaying,-0.00045954,0.8266,0.014765,0.007917,0.011116,2000,26
group,decaying,-0.00045289,0.9277,0.018435,0.011457,0.014765,2000,26
manifolds,decaying,-0.00034642,0.827,0.011025,0.005981,0.008347,2000,26
lie,decaying,-0.00033899,0.8101,0.010344,0.005338,0.007628,2000,26
quantum,decaying,-0.00032762,0.5527,0.009736,0.005242,0.007232,2000,26
groups,decaying,-0.00026178,0.8801,0.014088,0.01007,0.011964,2000,26
cohomology,decaying,-0.0002559,0.7944,0.007558,0.003677,0.005474,2000,26
theory,decaying,-0.00024422,0.7574,0.014392,0.010838,0.012424,2000,26
space,decaying,-0.00023938,0.7926,0.016205,0.012805,0.014442,2000,26
manifold,decaying,-0.00023565,0.8467,0.008315,0.00472,0.006425,2000,26
complex,decaying,-0.00022502,0.7681,0.010146,0.006912,0.008427,2000,26
symplectic,decaying,-0.00022328,0.7808,0.005816,0.002627,0.004086,2000,26
let,decaying,-0.00021539,0.9463,0.008787,0.005405,0.007089,2000,26
invariants,decaying,-0.00021532,0.7478,0.006045,0.002955,0.004354,2000,26
projective,decaying,-0.0002073,0.7839,0.006609,0.003627,0.005019,2000,26
hopf,decaying,-0.00020609,0.755,0.004702,0.00177,0.003129,2000,26
algebraic,decaying,-0.00019361,0.7462,0.008322,0.005437,0.006788,2000,26
surfaces,decaying,-0.00018589,0.8005,0.007826,0.004897,0.006227,2000,26
moduli,decaying,-0.00018059,0.6507,0.005263,0.002649,0.003813,2000,26
