subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
math,2000,2001,80,0.39634,0.874638,0.527306
math,2001,2002,82,0.402763,0.865706,0.531009
math,2002,2003,84,0.410332,0.851633,0.535323
math,2003,2004,102,0.389472,0.860183,0.514721
math,2004,2005,108,0.404302,0.821237,0.52067
math,2005,2006,114,0.400948,0.798647,0.505491
math,2006,2007,128,0.416003,0.795038,0.513321
math,2007,2008,132,0.432476,0.770128,0.523461
math,2008,2009,134,0.442996,0.761099,0.532084
math,2009,2010,135,0.451909,0.748557,0.532489
math,2010,2011,140,0.456935,0.723854,0.528769
math,2011,2012,146,0.470353,0.70573,0.528117
math,2012,2013,148,0.485915,0.6736,0.529018
math,2013,2014,150,0.492072,0.657605,0.533149
math,2014,2015,149,0.511223,0.637683,0.536569
math,2015,2016,149,0.518187,0.624123,0.537129
math,2016,2017,150,0.520462,0.601218,0.524413
math,2017,2018,150,0.525929,0.583626,0.519623
math,2018,2019,150,0.532666,0.566208,0.51817
math,2019,2020,150,0.544091,0.552652,0.514405
math,2020,2021,150,0.55478,0.54552,0.516112
math,2021,2022,150,0.551811,0.513406,0.49959
math,2022,2023,150,0.543134,0.544864,0.511897
math,2023,2024,150,0.554348,0.532586,0.510323
math,2024,2025,150,0.575057,0.481661,0.492946
