word,category,slope,overall_avg
mathbb_mathbb,emerging,0.0006052142843110958,0.010007893202012756
mathbb,emerging,0.0005046559076600025,0.006743261075320062
graph,emerging,0.0004897553583960798,0.016787700415207926
optimization,emerging,0.0004012779374137152,0.004120288613326235
mathcal_mathcal,emerging,0.00036852882600467234,0.005857109750366454
algorithm,emerging,0.00036392144260925894,0.010319645055239858
mathcal,emerging,0.0003472680464312907,0.00435080778786715
numerical,emerging,0.0003359463937291344,0.006699421131789711
stochastic,emerging,0.00027340718367493196,0.0062913802555659044
network,emerging,0.000272209762936641,0.004201014902634287
optimal,emerging,0.00026804864854094415,0.005323581537790444
convergence,emerging,0.0002626561266205764,0.006339259604264193
datum,emerging,0.0002570561109958631,0.005814040481125923
control,emerging,0.0002479222026046509,0.0042328703315530035
frac,emerging,0.00024592439878149953,0.004339380944867557
approximation,emerging,0.00021909029942449577,0.006361467456297925
error,emerging,0.00021759172335445923,0.004399199665301439
gradient,emerging,0.00021260198213778192,0.003313012841958269
mathrm,emerging,0.0002106014851040656,0.0019978879336239866
dynamic,emerging,0.00019438138888696455,0.00535635474847229
convex,emerging,0.0001870780385423178,0.0059124408308938526
fractional,emerging,0.00018521922230698947,0.003397608285220716
constraint,emerging,0.00017513558984017094,0.0030240752651211557
game,emerging,0.00016371754199055732,0.0025520240795892995
right,emerging,0.00015851580562807765,0.002926169706738215
order,emerging,0.00015751197281829336,0.01142155770272872
robust,emerging,0.00015244219045505833,0.001707152832336636
text,emerging,0.0001515595833598636,0.002341622588357103
strategy,emerging,0.00015018034157765966,0.0021892136952500517
stability,emerging,0.0001496676391750011,0.005569212786776337
function,stable,-3.965568373224447e-05,0.022672005639645047
property,stable,9.94042892525486e-06,0.012702744873893373
set,stable,-2.464621497980042e-05,0.013928749577247655
non,stable,-2.2030367974946128e-05,0.013214496664904303
matrix,stable,-3.0318663666872292e-05,0.012101831739611518
local,stable,-3.666012538098768e-06,0.00906962669048411
measure,stable,-6.5080749787740535e-06,0.00905219417065571
boundary,stable,7.444969683506879e-06,0.008766732618354327
term,stable,-3.0624056411236065e-05,0.009895424818066509
type,stable,-8.638879822699243e-05,0.01406960804331957
limit,stable,1.3664974393097446e-06,0.0068890584761593
point,stable,-9.902968443466238e-05,0.013502338337948245
coefficient,stable,-2.488219955137065e-06,0.0068585896683737895
space,stable,-0.000248813836993963,0.022688883983691812
sum,stable,3.288900636027214e-05,0.008442517373966193
degree,stable,-1.2701002060595791e-05,0.00709983291185304
rank,stable,1.4659020348098672e-06,0.006140163856764346
condition,stable,6.848289665835622e-05,0.010166194726760253
positive,stable,-1.2763705745383457e-05,0.0067699567659910975
constant,stable,-7.028663642778818e-06,0.006370854729586225
operator,stable,-0.00016460948242775556,0.015631829323689256
existence,stable,3.708460624984551e-05,0.008069991599914294
asymptotic,stable,-1.3729243408953646e-05,0.0065908728976713645
subset,stable,-1.792698825813278e-05,0.0066067317689839835
random,stable,4.976495072453765e-05,0.008365447681663753
sequence,stable,-5.0101449181062354e-05,0.008251993022946304
finite,stable,-0.00015646497965684763,0.014086554974406333
linear,stable,0.00010641853851079089,0.01128820883252289
prime,stable,-5.751368923917078e-06,0.005756064244243996
class,stable,-0.00017056179584222863,0.014600543566399376
group,decaying,-0.0006698948228641063,0.027091196428230404
algebra,decaying,-0.0006395312103156997,0.01589917522614109
manifold,decaying,-0.0005455368303073398,0.01277797839660799
quantum,decaying,-0.0003855644593750441,0.008382654058417467
invariant,decaying,-0.0003708233814886131,0.010902991433801563
theory,decaying,-0.00034541683984969134,0.01566168899237212
cohomology,decaying,-0.000298758943067826,0.006052311674132943
representation,decaying,-0.00029850106377443556,0.010821784941167143
structure,decaying,-0.000288782610277986,0.012899984963014949
curve,decaying,-0.0002828656881924413,0.009131853539900191
algebraic,decaying,-0.00026912377297574945,0.008337775875954119
module,decaying,-0.0002671619222235638,0.00820172568427458
surface,decaying,-0.00026601657458191427,0.011020725328935341
geometry,decaying,-0.00024763207687436914,0.006810456078902898
theorem,decaying,-0.00024469000579756397,0.013768967605735927
symplectic,decaying,-0.00023239913129408384,0.004709387716226858
algebras,decaying,-0.0002300061306696723,0.005443598521947269
action,decaying,-0.00022417939592795353,0.006997464392660581
deformation,decaying,-0.00022212855142319374,0.004156214507335975
projective,decaying,-0.0002174937208436582,0.005870764019156581
lie_algebra,decaying,-0.00021173169802671658,0.0037884927538871078
compact,decaying,-0.0001998685873719635,0.008081789437352813
variety,decaying,-0.00019945323840317667,0.006690574985685805
bundle,decaying,-0.0001971085760506821,0.0036465317900684796
ring,decaying,-0.0001947588741833393,0.0074847573897675245
formula,decaying,-0.00019422313203828974,0.009427539243627138
ideal,decaying,-0.00019264429372090427,0.006041867298995054
hopf_algebra,decaying,-0.00019162008155499066,0.002102025151713382
noncommutative,decaying,-0.00018552945831920727,0.0025836531795830993
certain,decaying,-0.00018446928535987875,0.00874603402990243
