model,n_keywords,n_captured,capture_pct,avg_span_paper,avg_span_simple,sum_s_dict,max_span,n_full_span
DTM,1689,205,12.14,0.00060625,9.2683,0.124281,26,26
LDA,1689,1009,59.74,0.02356798,6.334,23.780093,26,73
Top2Vec,1689,1604,94.97,0.27986236,8.9345,448.899231,26,237
BERTopic,1689,1671,98.93,0.14473342,4.7876,241.849545,26,25
TopicGPT,1689,1248,73.89,0.16798815,5.0377,209.649217,26,52
