subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
physics,top2vec,learning,emerging,emerging,True,0.585641,0.0,0.7805,18,92.3
physics,top2vec,imaging,emerging,emerging,True,0.281026,0.0,0.8223,19,84.6
physics,top2vec,neural,emerging,emerging,True,0.361368,0.0,0.7293,17,96.2
physics,top2vec,based,emerging,stable,False,0.01094,0.263876,0.0517,1,15.4
physics,top2vec,network,emerging,emerging,True,0.38735,2e-06,0.619,26,100.0
physics,top2vec,high,emerging,emerging,True,0.128205,0.001762,0.3402,7,50.0
physics,top2vec,materials,emerging,emerging,True,0.225299,2.7e-05,0.5266,12,69.2
physics,top2vec,demonstrate,emerging,stable,False,0.0,1.0,0.0,0,0.0
physics,top2vec,performance,emerging,emerging,True,0.073504,1.9e-05,0.5392,15,65.4
physics,top2vec,networks,emerging,emerging,True,0.319658,6e-06,0.5837,23,92.3
physics,top2vec,machine,emerging,emerging,True,0.213333,3e-06,0.6042,13,53.8
physics,top2vec,models,emerging,emerging,True,0.117265,5e-06,0.5908,8,42.3
physics,top2vec,optical,emerging,emerging,True,1.09265,0.0,0.9249,26,100.0
physics,top2vec,deep,emerging,emerging,True,0.176752,0.000353,0.4187,9,34.6
physics,top2vec,mathrm,emerging,emerging,True,0.342222,0.0,0.7168,13,76.9
physics,top2vec,topological,emerging,emerging,True,0.049573,0.000515,0.401,16,80.8
physics,top2vec,work,emerging,stable,False,0.000342,0.948456,0.0002,1,3.8
physics,top2vec,data,emerging,emerging,True,0.475214,0.0,0.7464,17,92.3
physics,top2vec,quantum,emerging,emerging,True,0.838291,0.0,0.8448,26,100.0
physics,top2vec,flow,emerging,emerging,True,0.782222,0.0,0.8479,26,100.0
physics,top2vec,energy,stable,emerging,False,0.39453,0.0,0.6653,26,100.0
physics,top2vec,results,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,top2vec,magnetic,stable,emerging,False,0.273504,9e-06,0.5657,26,100.0
physics,top2vec,time,stable,stable,True,0.065641,0.180651,0.0734,21,96.2
physics,top2vec,model,stable,emerging,False,0.602735,0.0,0.7829,26,100.0
physics,top2vec,particle,stable,emerging,False,0.239658,0.0,0.8307,25,96.2
physics,top2vec,analysis,stable,stable,True,-0.002051,0.871579,0.0011,2,30.8
physics,top2vec,state,stable,emerging,False,0.152137,3e-06,0.6008,13,73.1
physics,top2vec,states,stable,emerging,False,0.168889,4e-06,0.5959,23,92.3
physics,top2vec,laser,stable,emerging,False,0.179487,0.00017,0.4515,26,100.0
physics,top2vec,used,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,top2vec,dimensional,stable,stable,True,-0.018462,0.130739,0.0926,2,11.5
physics,top2vec,present,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,top2vec,field,stable,emerging,False,0.297436,5e-06,0.5881,26,100.0
physics,top2vec,physics,stable,emerging,False,0.082051,0.008513,0.255,25,96.2
physics,top2vec,experimental,stable,stable,True,-0.003761,0.474636,0.0215,1,3.8
physics,top2vec,order,stable,emerging,False,0.073846,0.002407,0.324,4,50.0
physics,top2vec,method,stable,emerging,False,0.164444,6e-06,0.5787,16,96.2
physics,top2vec,electron,stable,emerging,False,0.385299,1.2e-05,0.5562,26,100.0
physics,top2vec,density,stable,stable,True,0.017094,0.35271,0.0361,16,80.8
physics,top2vec,theory,decaying,stable,False,0.054701,0.110482,0.1027,26,100.0
physics,top2vec,relativistic,decaying,stable,False,-0.029744,0.444426,0.0246,26,100.0
physics,top2vec,relativity,decaying,decaying,True,-0.044786,0.011543,0.2376,26,100.0
physics,top2vec,beam,decaying,emerging,False,0.208889,0.000105,0.4723,26,100.0
physics,top2vec,shown,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,top2vec,atoms,decaying,decaying,True,-0.095726,0.025569,0.191,26,100.0
physics,top2vec,discussed,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,top2vec,equation,decaying,stable,False,0.014701,0.690804,0.0067,26,100.0
physics,top2vec,equations,decaying,emerging,False,0.070427,0.017524,0.2134,26,100.0
physics,top2vec,clusters,decaying,decaying,True,-0.024957,0.014215,0.2256,26,100.0
physics,top2vec,presented,decaying,stable,False,-0.008547,0.0961,0.1111,1,3.8
physics,top2vec,gravitational,decaying,stable,False,0.007521,0.825065,0.0021,26,100.0
physics,top2vec,einstein,decaying,stable,False,-0.009915,0.720658,0.0054,26,100.0
physics,top2vec,law,decaying,decaying,True,-0.062222,0.00816,0.2574,8,73.1
physics,top2vec,atom,decaying,stable,False,0.019145,0.452694,0.0237,26,100.0
physics,top2vec,radiation,decaying,stable,False,-0.002735,0.952545,0.0002,19,96.2
physics,top2vec,electromagnetic,decaying,stable,False,-0.030769,0.144639,0.0865,26,100.0
physics,top2vec,motion,decaying,stable,False,-0.021538,0.313459,0.0423,4,57.7
physics,top2vec,special,decaying,stable,False,-0.013675,0.275228,0.0494,6,69.2
physics,top2vec,lorentz,decaying,stable,False,-0.026667,0.144328,0.0867,13,76.9
