subject,year_from,year_to,avg_sim,avg_drift,n_topics
physics,2000,2001,0.11142857142857143,0.8885714285714286,35
physics,2001,2002,0.13947368421052633,0.8605263157894738,38
physics,2002,2003,0.14210526315789473,0.8578947368421053,38
physics,2003,2004,0.14523809523809525,0.8547619047619047,42
physics,2004,2005,0.13555555555555554,0.8644444444444445,45
physics,2005,2006,0.15,0.85,54
physics,2006,2007,0.1672131147540984,0.8327868852459016,61
physics,2007,2008,0.17692307692307693,0.823076923076923,65
physics,2008,2009,0.20294117647058824,0.7970588235294118,68
physics,2009,2010,0.19718309859154928,0.8028169014084507,71
physics,2010,2011,0.23513513513513512,0.7648648648648649,74
physics,2011,2012,0.29041095890410956,0.7095890410958904,73
physics,2012,2013,0.29863013698630136,0.7013698630136986,73
physics,2013,2014,0.3216216216216216,0.6783783783783784,74
physics,2014,2015,0.3202702702702703,0.6797297297297297,74
physics,2015,2016,0.33783783783783783,0.6621621621621622,74
physics,2016,2017,0.35945945945945945,0.6405405405405405,74
physics,2017,2018,0.3472972972972973,0.6527027027027027,74
physics,2018,2019,0.3891891891891892,0.6108108108108109,74
physics,2019,2020,0.40405405405405403,0.595945945945946,74
physics,2020,2021,0.43648648648648647,0.5635135135135135,74
physics,2021,2022,0.4283783783783784,0.5716216216216216,74
physics,2022,2023,0.4216216216216216,0.5783783783783784,74
physics,2023,2024,0.44459459459459455,0.5554054054054054,74
physics,2024,2025,0.4716216216216216,0.5283783783783784,74
