subject,year,avg_sim,avg_drift,n_topics
physics,2000,1.0,0.0,40
physics,2001,0.2857142857142857,0.7142857142857143,42
physics,2002,0.298,0.7020000000000001,50
physics,2003,0.23124999999999998,0.7687499999999999,48
physics,2004,0.1326923076923077,0.8673076923076923,52
physics,2005,0.2178571428571429,0.7821428571428573,56
physics,2006,0.13015873015873017,0.8698412698412697,63
physics,2007,0.1,0.9,66
physics,2008,0.12121212121212122,0.8787878787878788,66
physics,2009,0.1101449275362319,0.889855072463768,69
physics,2010,0.11666666666666667,0.8833333333333333,72
physics,2011,0.12916666666666668,0.8708333333333333,72
physics,2012,0.12816901408450704,0.8718309859154929,71
physics,2013,0.12222222222222223,0.8777777777777778,72
physics,2014,0.1416666666666667,0.8583333333333333,72
physics,2015,0.13055555555555556,0.8694444444444445,72
physics,2016,0.12916666666666668,0.8708333333333333,72
physics,2017,0.13194444444444445,0.8680555555555556,72
physics,2018,0.1513888888888889,0.8486111111111111,72
physics,2019,0.14583333333333334,0.8541666666666666,72
physics,2020,0.14444444444444446,0.8555555555555556,72
physics,2021,0.1416666666666667,0.8583333333333333,72
physics,2022,0.15000000000000002,0.8500000000000001,72
physics,2023,0.14861111111111114,0.851388888888889,72
physics,2024,0.14722222222222223,0.8527777777777777,72
physics,2025,0.14583333333333334,0.8541666666666666,72
