subject,year,avg_sim,avg_drift,n_topics
cs,2000,0.651322,0.348678,47
cs,2001,0.3290997301587302,0.6709002698412698,63
cs,2002,0.25423544615384613,0.7457645538461539,65
cs,2003,0.20963683783783785,0.7903631621621622,74
cs,2004,0.22343611578947367,0.7765638842105262,95
cs,2005,0.1544013103448276,0.8455986896551725,87
cs,2006,0.102132375,0.897867625,88
cs,2007,0.06637178048780487,0.9336282195121951,82
cs,2008,0.0746309,0.9253691,100
cs,2009,0.08087125925925925,0.9191287407407408,108
cs,2010,0.10601668253968254,0.8939833174603175,126
cs,2011,0.07407444444444444,0.9259255555555556,144
cs,2012,0.07530553416149068,0.9246944658385093,161
cs,2013,0.05859003370786517,0.9414099662921349,178
cs,2014,0.06830667567567568,0.9316933243243244,185
cs,2015,0.08311580808080808,0.9168841919191919,198
cs,2016,0.08468540444444445,0.9153145955555556,225
cs,2017,0.0682809121338912,0.9317190878661088,239
cs,2018,0.07729174501992031,0.9227082549800797,251
cs,2019,0.06678649411764706,0.933213505882353,255
cs,2020,0.06639292996108949,0.9336070700389105,257
cs,2021,0.06961572093023256,0.9303842790697674,258
cs,2022,0.06716051538461539,0.9328394846153846,260
cs,2023,0.06865363218390805,0.9313463678160919,261
cs,2024,0.06499269348659004,0.93500730651341,261
cs,2025,0.06201267692307692,0.937987323076923,260
