model,subject,trend,rank,word,freq,n_topics_in_category
Top2Vec,math,GROWING,1,algorithm,319,76
Top2Vec,math,GROWING,2,graph,263,76
Top2Vec,math,GROWING,3,network,202,76
Top2Vec,math,GROWING,4,vertex,196,76
Top2Vec,math,GROWING,5,stochastic,159,76
Top2Vec,math,GROWING,6,numerical,143,76
Top2Vec,math,GROWING,7,datum,123,76
Top2Vec,math,GROWING,8,edge,119,76
Top2Vec,math,GROWING,9,control,118,76
Top2Vec,math,GROWING,10,matrix,117,76
Top2Vec,math,GROWING,11,optimization,113,76
Top2Vec,math,GROWING,12,function,110,76
Top2Vec,math,GROWING,13,diffusion,109,76
Top2Vec,math,GROWING,14,flow,105,76
Top2Vec,math,GROWING,15,nonlinear,104,76
Top2Vec,math,GROWING,16,optimal,98,76
Top2Vec,math,GROWING,17,space,90,76
Top2Vec,math,GROWING,18,tree,90,76
Top2Vec,math,GROWING,19,set,89,76
Top2Vec,math,GROWING,20,wave,89,76
Top2Vec,math,STABLE,1,function,308,68
Top2Vec,math,STABLE,2,group,227,68
Top2Vec,math,STABLE,3,space,201,68
Top2Vec,math,STABLE,4,random,184,68
Top2Vec,math,STABLE,5,distribution,158,68
Top2Vec,math,STABLE,6,operator,143,68
Top2Vec,math,STABLE,7,metric,138,68
Top2Vec,math,STABLE,8,graph,134,68
Top2Vec,math,STABLE,9,probability,130,68
Top2Vec,math,STABLE,10,field,116,68
Top2Vec,math,STABLE,11,algebra,111,68
Top2Vec,math,STABLE,12,sum,108,68
Top2Vec,math,STABLE,13,mathbb_mathbb,107,68
Top2Vec,math,STABLE,14,measure,105,68
Top2Vec,math,STABLE,15,eigenvalue,98,68
Top2Vec,math,STABLE,16,ring,95,68
Top2Vec,math,STABLE,17,boundary,94,68
Top2Vec,math,STABLE,18,prime,94,68
Top2Vec,math,STABLE,19,set,92,68
Top2Vec,math,STABLE,20,inequality,89,68
Top2Vec,math,DECLINING,1,group,449,52
Top2Vec,math,DECLINING,2,algebra,318,52
Top2Vec,math,DECLINING,3,manifold,276,52
Top2Vec,math,DECLINING,4,space,231,52
Top2Vec,math,DECLINING,5,function,187,52
Top2Vec,math,DECLINING,6,representation,162,52
Top2Vec,math,DECLINING,7,category,152,52
Top2Vec,math,DECLINING,8,operator,151,52
Top2Vec,math,DECLINING,9,algebras,144,52
Top2Vec,math,DECLINING,10,cohomology,136,52
Top2Vec,math,DECLINING,11,surface,135,52
Top2Vec,math,DECLINING,12,module,134,52
Top2Vec,math,DECLINING,13,polynomial,129,52
Top2Vec,math,DECLINING,14,field,121,52
Top2Vec,math,DECLINING,15,homology,118,52
Top2Vec,math,DECLINING,16,theory,116,52
Top2Vec,math,DECLINING,17,quantum,113,52
Top2Vec,math,DECLINING,18,genus,110,52
Top2Vec,math,DECLINING,19,structure,109,52
Top2Vec,math,DECLINING,20,variety,93,52
