subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
math,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.497232,0.502768,"graph, graphs, matroids, 2dom, aut, book, chromatic, circuit, cn, covered, covering, digraph, distinguishing, dom, domatic, edges, gg, half, hamilton, hedrite, hedrites, hereditary, heterochromatic, hypergraph, imbeddings, lambda, laplacian, lattice, ln, locally, minimalizable, number, polynomial, polynomials, quadrangularity, ranks, rceil, removing, routing, semisymmetric, sets, steiner, theta, thickness, tiled, tournaments, transfinite, tutte, unlabeled, vertex, vertices","graph, graphs, vertices, edges, vertex, gg, number, chromatic, connected, edge, geq, alliance, bbz, bidirected, cchi, cn, covering, decycling, defensive, digraphs, directed, distinguishing, hereditary, heterochromatic, laplacian, mcc, offensive, paired, rainbow, rb, rceil, semisymmetric"
math,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.512903,0.487097,"graph, graphs, vertices, edges, vertex, gg, number, chromatic, connected, edge, geq, alliance, bbz, bidirected, cchi, cn, covering, decycling, defensive, digraphs, directed, distinguishing, hereditary, heterochromatic, laplacian, mcc, offensive, paired, rainbow, rb, rceil, semisymmetric","edge, gg, graph, graphs, number, vertices, edges, vertex, every, chromatic, coloring, connected, degree, directed, if, kk, minimum, rainbow, set"
math,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.927555,0.072445,"edge, gg, graph, graphs, number, vertices, edges, vertex, every, chromatic, coloring, connected, degree, directed, if, kk, minimum, rainbow, set","edge, gg, graph, graphs, number, vertex, vertices, coloring, edges, every, kk, chromatic, connected, geq, if, mathcal"
math,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.943158,0.056842,"edge, gg, graph, graphs, number, vertex, vertices, coloring, edges, every, kk, chromatic, connected, geq, if, mathcal","edge, gg, graph, graphs, number, vertex, vertices, every, kk, coloring, mathcal, cal, chromatic, edges, ell, geq, hh, if"
math,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.202102,0.797898,"operators, commuting, dilation, dilations, dunkl, transform, 1h, ast, bergman, biger, bounded, cr, cusps, doubling, f3, fh, fourier, hardy, hermitian, hoelder, hyperbolicity, hyperinvariant, inequality, invariant, lacunary, lunel, maximal, multivariable, operator, paley, pollard, qtext, randolph, restriction, sbd, schwartz, selfadjoint, shifts, sobolev, spaces, subspaces, svep, symbol, theorem, transaloid, tuples, umd, verduyn, weighted, weyl, zr, zygmund","hardy, operators, spaces, operator, inequalities, functions, inequality, int, weighted, bbk, besov, bmo, const, cr, dunkl, dyadic, fh, generalized, ginf, infty, interpolation, lebesgue, nevanlinna, norm, orlicz, pick, pmb, pollard, riesz, rn, sf, smirnov, sobolev, symbol, transform, trudinger, vec"
math,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.666466,0.333534,"hardy, operators, spaces, operator, inequalities, functions, inequality, int, weighted, bbk, besov, bmo, const, cr, dunkl, dyadic, fh, generalized, ginf, infty, interpolation, lebesgue, nevanlinna, norm, orlicz, pick, pmb, pollard, riesz, rn, sf, smirnov, sobolev, symbol, transform, trudinger, vec","hardy, infty, operator, operators, spaces, functions, inequalities, weighted, mathbb, varphi, bergman, besov, bf, bounded, boundedness, carleson, const, dyadic, frac, int, mathsf, orlicz, sobolev, space, tilde, zygmund"
math,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.740281,0.259719,"hardy, infty, operator, operators, spaces, functions, inequalities, weighted, mathbb, varphi, bergman, besov, bf, bounded, boundedness, carleson, const, dyadic, frac, int, mathsf, orlicz, sobolev, space, tilde, zygmund","hardy, mathbb, operator, operators, spaces, infty, weighted, inequalities, boundedness, functions, sobolev, space, bar, big, commutators, frac, int, left, mathcal, on, right, varphi"
math,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.818637,0.181363,"hardy, mathbb, operator, operators, spaces, infty, weighted, inequalities, boundedness, functions, sobolev, space, bar, big, commutators, frac, int, left, mathcal, on, right, varphi","hardy, infty, mathbb, operator, operators, spaces, weighted, bergman, sobolev, boundedness, frac, inequalities, mathcal, space, bar, varphi"
math,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.438848,0.561152,"estimation, estimator, estimators, jackknife, parameter, regression, aggregation, air, asthma, beta, bic, censored, datum, demonstrates, effect, fiducial, gom, guessed, ifs, inference, jack, likelihood, location, mdma, meta, minimax, mmse, model, models, nonparametric, particulate, particulates, pdf, predictive, prior, probabilities, risk, sample, samples, shrinkage, size, treatment, variance, weibull","estimators, estimation, regression, estimator, likelihood, models, selection, bolds, tests, adaptive, asymptotic, bic, confidence, data, densities, density, distribution, empirical, fdp, fwer, inference, lasso, mathbf, mathit, minimax, model, nonparametric, oracle, parameter, penalized, procedure, procedures, quim, risk, sample, testing"
math,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.662269,0.337731,"estimators, estimation, regression, estimator, likelihood, models, selection, bolds, tests, adaptive, asymptotic, bic, confidence, data, densities, density, distribution, empirical, fdp, fwer, inference, lasso, mathbf, mathit, minimax, model, nonparametric, oracle, parameter, penalized, procedure, procedures, quim, risk, sample, testing","estimation, estimators, regression, sample, estimator, selection, lasso, likelihood, testing, models, oracle, test, confidence, covariates, data, densities, density, distribution, high, mle, model, nonparametric, penalized, posterior, procedure"
math,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.704861,0.295139,"estimation, estimators, regression, sample, estimator, selection, lasso, likelihood, testing, models, oracle, test, confidence, covariates, data, densities, density, distribution, high, mle, model, nonparametric, penalized, posterior, procedure","estimation, estimator, estimators, regression, data, sample, test, testing, bayesian, inference, model, selection, tests, distribution, error, lasso, likelihood, minimax, models, nonparametric, posterior"
math,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.665899,0.334101,"estimation, estimator, estimators, regression, data, sample, test, testing, bayesian, inference, model, selection, tests, distribution, error, lasso, likelihood, minimax, models, nonparametric, posterior","data, estimation, estimator, estimators, inference, regression, sample, models, causal, test, bayesian, testing, covariates, likelihood, model, treatment"
