subject,year_from,year_to,avg_sim,avg_drift,n_topics
math,2000,2001,0.13125,0.86875,80
math,2001,2002,0.14634146341463414,0.8536585365853658,82
math,2002,2003,0.14761904761904762,0.8523809523809524,84
math,2003,2004,0.14705882352941177,0.8529411764705882,102
math,2004,2005,0.1685185185185185,0.8314814814814815,108
math,2005,2006,0.18947368421052632,0.8105263157894738,114
math,2006,2007,0.19375,0.80625,128
math,2007,2008,0.21893939393939393,0.781060606060606,132
math,2008,2009,0.2373134328358209,0.7626865671641792,134
math,2009,2010,0.2518518518518518,0.7481481481481481,135
math,2010,2011,0.26999999999999996,0.73,140
math,2011,2012,0.29041095890410956,0.7095890410958904,146
math,2012,2013,0.3081081081081081,0.6918918918918919,148
math,2013,2014,0.322,0.678,150
math,2014,2015,0.3523489932885906,0.6476510067114094,149
math,2015,2016,0.36778523489932885,0.6322147651006712,149
math,2016,2017,0.38733333333333336,0.6126666666666667,150
math,2017,2018,0.3973333333333333,0.6026666666666667,150
math,2018,2019,0.40599999999999997,0.594,150
math,2019,2020,0.43666666666666665,0.5633333333333334,150
math,2020,2021,0.44399999999999995,0.556,150
math,2021,2022,0.4553333333333333,0.5446666666666666,150
math,2022,2023,0.43133333333333335,0.5686666666666667,150
math,2023,2024,0.4526666666666667,0.5473333333333333,150
math,2024,2025,0.5013333333333333,0.49866666666666665,150
