subject,year,avg_sim,avg_drift,n_topics
math,2000,1.0,0.0,92
math,2001,0.3072173564356436,0.6927826435643564,101
math,2002,0.13425624444444445,0.8657437555555556,90
math,2003,0.22535921739130435,0.7746407826086957,115
math,2004,0.16472844915254237,0.8352715508474576,118
math,2005,0.1460119338842975,0.8539880661157024,121
math,2006,0.15143642105263158,0.8485635789473684,133
math,2007,0.13394082608695654,0.8660591739130434,138
math,2008,0.13722860283687943,0.8627713971631206,141
math,2009,0.12348866187050359,0.8765113381294964,139
math,2010,0.12731578723404255,0.8726842127659574,141
math,2011,0.13174378767123288,0.8682562123287672,146
math,2012,0.12469072297297297,0.875309277027027,148
math,2013,0.13209374,0.8679062599999999,150
math,2014,0.12130327333333334,0.8786967266666666,150
math,2015,0.1304042080536913,0.8695957919463088,149
math,2016,0.13854821333333334,0.8614517866666667,150
math,2017,0.1300267,0.8699733,150
math,2018,0.14190937333333334,0.8580906266666667,150
math,2019,0.13432045333333334,0.8656795466666667,150
math,2020,0.13435983333333332,0.8656401666666667,150
math,2021,0.12842482,0.87157518,150
math,2022,0.13532667333333334,0.8646733266666666,150
math,2023,0.12964080666666666,0.8703591933333333,150
math,2024,0.13505075333333333,0.8649492466666667,150
math,2025,0.14013584666666667,0.8598641533333333,150
