subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
math,2002,2003,40,2,"[6, 40]","[0.3686, 0.3001]","algebras, algebra, lie, xu, dynkin, central, krichever, affine, malcev, bol"
math,2002,2003,20,2,"[9, 117]","[0.2703, 0.2372]","surfaces, umbilic, curvature, mean, lines, flat, extremal, ends, immersed, genus"
math,2003,2004,20,2,"[20, 117]","[0.3924, 0.2703]","curvature, minimal, surfaces, mean, surface, immersed, enneper, helicoid, 3r, hodographic"
math,2003,2004,6,3,"[6, 27, 40]","[0.3914, 0.2703, 0.3956]","algebras, unital, algebra, pi, tracial, rokhlin, crossed, von, completely, ca"
math,2004,2005,9,2,"[9, 44]","[0.4258, 0.2703]","hilb, k3, bundles, moduli, curves, surfaces, surface, supersingular, curve, genus"
math,2005,2006,64,2,"[64, 92]","[0.3686, 0.2703]","polynomials, orthogonal, 2n, circle, mathscr, asymptotics, lexicographical, boldsymbol, szego, formulas"
math,2005,2006,33,2,"[33, 127]","[0.3527, 0.2211]","category, operads, categories, operad, restriction, colimits, monoidal, limits, functors, coproduct"
math,2005,2006,11,2,"[11, 117]","[0.412, 0.2731]","ricci, manifolds, hler, manifold, hm, curvature, almost, metrics, riemannian, varsigma"
math,2006,2007,80,2,"[20, 80]","[0.2053, 0.5374]","flow, curvature, mean, hypersurface, evolution, pseudolocality, forcing, tangential, uniqueness, codimensions"
math,2006,2007,75,2,"[75, 135]","[0.3138, 0.2703]","boltzmann, maxwellian, hard, angular, elastic, inelastic, potentials, inelasticity, vlasov, initial"
math,2006,2007,13,2,"[13, 149]","[0.4878, 0.3451]","nonlinear, dinger, schr, equation, posedness, solutions, soliton, global, cubic, defocusing"
math,2007,2008,1,2,"[1, 122]","[0.3355, 0.2703]","interpolation, spaces, bmo, hardy, operator, operators, pick, nevanlinna, sf, functions"
math,2007,2008,2,2,"[2, 56]","[0.4287, 0.2219]","bolds, estimator, estimators, estimation, regression, likelihood, mathbf, selection, penalized, distribution"
math,2007,2008,34,2,"[9, 34]","[0.2867, 0.4972]","curves, over, curve, field, genus, elliptic, weil, tate, shafarevich, nonisomorphic"
math,2007,2008,6,2,"[6, 88]","[0.4901, 0.2686]","algebras, algebra, unital, cuntz, tracial, af, compact, widetilde, cal, derivations"
math,2007,2008,40,4,"[40, 112, 119, 130]","[0.5579, 0.2703, 0.3198, 0.376]","lie, subalgebras, algebras, filiform, leibniz, infty, characteristic, diamond, superalgebras, algebra"
math,2007,2008,148,2,"[110, 148]","[0.2138, 0.2703]","automata, buchi, automatic, rabin, word, structures, lectures, letter, strings, alphabet"
math,2007,2008,22,2,"[29, 123]","[0.2956, 0.2274]","matrix, matrices, scalapack, factorization, algorithms, pentadiagonal, diagonal, columns, submatrix, algorithm"
math,2008,2009,1,2,"[1, 30]","[0.3706, 0.2703]","operators, hardy, spaces, operator, vec, lebesgue, weighted, rn, inequality, norm"
math,2008,2009,2,2,"[2, 56]","[0.5291, 0.3138]","estimator, selection, likelihood, regression, bolds, empirical, adaptive, models, estimation, estimators"
math,2008,2009,6,2,"[6, 88]","[0.5364, 0.2703]","algebras, algebra, rtimes, von, neumann, fa, cuntz, banach, derivations, mathcal"
math,2008,2009,103,2,"[63, 103]","[0.2703, 0.2211]","bbb, functions, univalent, half, starlike, disk, harmonic, integral, colon, subharmonic"
math,2009,2010,18,2,"[18, 114]","[0.7163, 0.2053]","stochastic, differential, equations, rough, backward, driven, reflected, uniqueness, sde, spdes"
math,2009,2010,6,2,"[6, 88]","[0.4451, 0.2584]","algebras, banach, algebra, module, ell, unital, aa, arens, amenability, actions"
math,2010,2011,11,2,"[11, 117]","[0.6047, 0.3024]","ricci, metrics, hler, curvature, metric, einstein, manifolds, flow, kahler, manifold"
math,2010,2011,4,2,"[4, 72]","[0.6455, 0.3956]","groups, group, gam, subgroups, finitely, finite, subgroup, gg, generated, aut"
math,2010,2011,70,2,"[70, 96]","[0.5191, 0.2731]","random, walks, walk, environment, galton, watson, drift, cookies, ballistic, drifts"
