subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
cs,2000,2001,46,41,26,14,0,0,6,0,1,56.52,30.43,0.0,0.0,13.04
cs,2001,2002,41,43,10,29,0,0,2,0,3,24.39,70.73,0.0,0.0,4.88
cs,2002,2003,43,50,13,30,0,0,0,0,3,30.23,69.77,0.0,0.0,0.0
cs,2003,2004,50,47,19,30,0,0,1,0,0,38.0,60.0,0.0,0.0,2.0
cs,2004,2005,47,50,10,37,0,0,0,0,4,21.28,78.72,0.0,0.0,0.0
cs,2005,2006,50,48,11,37,0,0,2,0,2,22.0,74.0,0.0,0.0,4.0
cs,2006,2007,48,48,13,31,0,0,4,0,3,27.08,64.58,0.0,0.0,8.33
cs,2007,2008,48,49,13,32,0,0,3,0,3,27.08,66.67,0.0,0.0,6.25
cs,2008,2009,49,48,11,37,0,0,1,0,2,22.45,75.51,0.0,0.0,2.04
cs,2009,2010,48,50,17,30,0,0,1,0,2,35.42,62.5,0.0,0.0,2.08
cs,2010,2011,50,48,19,29,0,0,2,0,0,38.0,58.0,0.0,0.0,4.0
cs,2011,2012,48,49,26,21,0,0,1,0,2,54.17,43.75,0.0,0.0,2.08
cs,2012,2013,49,50,23,26,0,0,0,0,1,46.94,53.06,0.0,0.0,0.0
cs,2013,2014,50,50,29,21,0,0,0,0,0,58.0,42.0,0.0,0.0,0.0
cs,2014,2015,50,50,32,18,0,0,0,0,0,64.0,36.0,0.0,0.0,0.0
cs,2015,2016,50,49,40,9,0,0,1,0,0,80.0,18.0,0.0,0.0,2.0
cs,2016,2017,49,50,43,6,0,0,0,0,1,87.76,12.24,0.0,0.0,0.0
cs,2017,2018,50,50,47,3,0,0,0,0,0,94.0,6.0,0.0,0.0,0.0
cs,2018,2019,50,50,47,3,0,0,0,0,0,94.0,6.0,0.0,0.0,0.0
cs,2019,2020,50,50,49,1,0,0,0,0,0,98.0,2.0,0.0,0.0,0.0
cs,2020,2021,50,50,48,2,0,0,0,0,0,96.0,4.0,0.0,0.0,0.0
cs,2021,2022,50,50,48,2,0,0,0,0,0,96.0,4.0,0.0,0.0,0.0
cs,2022,2023,50,50,48,2,0,0,0,0,0,96.0,4.0,0.0,0.0,0.0
cs,2023,2024,50,50,49,1,0,0,0,0,0,98.0,2.0,0.0,0.0,0.0
cs,2024,2025,50,50,50,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0
