subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,energy,stable,26,26,2000,26,100.0,456,17.54,"[56, 43, 55, 51, 47, 43, 53, 8, 1, 2, 3, 3, 9, 10, 13, 12, 9, 6, 5, 6, 4, 4, 4, 3, 3, 3]",██████████████████████████
physics,laser,stable,26,26,2000,26,100.0,135,5.19,"[2, 4, 3, 2, 7, 6, 4, 5, 6, 14, 12, 23, 16, 5, 1, 1, 1, 2, 3, 3, 3, 3, 4, 2, 1, 2]",██████████████████████████
physics,order,stable,20,25,2006,26,96.2,183,7.32,"[2, 4, 4, 8, 7, 0, 2, 9, 6, 6, 8, 10, 13, 27, 25, 5, 6, 6, 8, 8, 6, 3, 2, 3, 3, 2]",█████·████████████████████
physics,physics,stable,15,25,2011,26,96.2,87,3.48,"[1, 4, 1, 6, 2, 3, 4, 1, 1, 1, 0, 2, 1, 2, 10, 8, 15, 3, 3, 5, 5, 4, 2, 1, 1, 1]",██████████·███████████████
physics,light,stable,26,26,2000,26,100.0,155,5.96,"[1, 5, 3, 3, 4, 9, 2, 5, 11, 9, 14, 25, 1, 2, 4, 5, 5, 1, 7, 7, 7, 5, 5, 7, 4, 4]",██████████████████████████
physics,ion,stable,17,23,2009,26,88.5,147,6.39,"[7, 0, 0, 2, 8, 1, 1, 2, 0, 6, 7, 10, 19, 22, 21, 4, 6, 9, 7, 3, 3, 3, 2, 2, 1, 1]",█··█████·█████████████████
physics,structure,stable,26,26,2000,26,100.0,322,12.38,"[27, 22, 33, 24, 21, 35, 24, 26, 43, 8, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2, 5, 6, 5, 9, 5, 4]",██████████████████████████
physics,density,stable,25,25,2001,26,96.2,131,5.24,"[0, 5, 4, 3, 6, 5, 1, 5, 5, 3, 13, 13, 20, 18, 1, 1, 1, 1, 2, 2, 4, 7, 5, 3, 2, 1]",·█████████████████████████
physics,property,stable,26,26,2000,26,100.0,233,8.96,"[5, 5, 11, 16, 4, 12, 16, 11, 22, 20, 24, 25, 6, 4, 6, 6, 4, 4, 5, 6, 3, 3, 4, 5, 4, 2]",██████████████████████████
physics,surface,stable,26,26,2000,26,100.0,187,7.19,"[3, 1, 1, 4, 4, 4, 5, 4, 12, 16, 19, 27, 32, 24, 1, 1, 2, 2, 4, 3, 2, 3, 3, 3, 4, 3]",██████████████████████████
physics,dynamic,stable,26,26,2000,26,100.0,273,10.5,"[19, 23, 18, 16, 11, 27, 34, 33, 34, 1, 1, 1, 2, 2, 2, 2, 2, 4, 3, 3, 3, 4, 7, 7, 9, 5]",██████████████████████████
physics,dimensional,stable,18,25,2008,26,96.2,104,4.16,"[3, 4, 3, 3, 3, 1, 1, 0, 4, 2, 8, 7, 9, 15, 19, 2, 1, 1, 1, 3, 4, 2, 2, 3, 2, 1]",███████·██████████████████
physics,non,stable,26,26,2000,26,100.0,178,6.85,"[1, 7, 10, 4, 4, 8, 2, 4, 10, 4, 10, 17, 27, 25, 24, 2, 2, 1, 1, 1, 3, 4, 2, 1, 2, 2]",██████████████████████████
physics,field,stable,26,26,2000,26,100.0,445,17.12,"[47, 45, 43, 41, 48, 51, 41, 43, 33, 1, 1, 2, 4, 6, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 2, 2]",██████████████████████████
physics,effect,stable,26,26,2000,26,100.0,340,13.08,"[34, 34, 27, 24, 25, 34, 36, 41, 36, 1, 1, 2, 2, 3, 4, 2, 1, 3, 3, 3, 3, 3, 5, 3, 5, 5]",██████████████████████████
physics,rate,stable,17,24,2009,26,92.3,179,7.46,"[2, 5, 10, 2, 3, 0, 7, 6, 0, 8, 11, 11, 14, 21, 28, 15, 7, 4, 4, 1, 1, 4, 5, 5, 3, 2]",█████·██·█████████████████
physics,wave,stable,26,26,2000,26,100.0,404,15.54,"[22, 29, 34, 38, 38, 38, 42, 40, 34, 39, 1, 2, 1, 3, 3, 3, 4, 5, 3, 4, 4, 4, 2, 4, 4, 3]",██████████████████████████
physics,atom,decaying,26,26,2000,26,100.0,313,12.04,"[14, 19, 27, 23, 6, 18, 6, 5, 9, 22, 12, 15, 15, 23, 16, 19, 12, 5, 2, 5, 7, 8, 17, 5, 2, 1]",██████████████████████████
physics,theory,decaying,26,26,2000,26,100.0,507,19.5,"[32, 40, 30, 33, 33, 49, 40, 38, 43, 32, 42, 28, 5, 2, 1, 2, 4, 8, 8, 8, 6, 5, 6, 5, 4, 3]",██████████████████████████
physics,beam,decaying,26,26,2000,26,100.0,294,11.31,"[58, 28, 17, 14, 30, 12, 21, 2, 16, 11, 15, 1, 2, 2, 7, 11, 12, 8, 8, 5, 2, 1, 2, 3, 3, 3]",██████████████████████████
physics,relativistic,decaying,2,4,2000,26,15.4,7,1.75,"[1, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",██·██·····················
physics,cluster,decaying,4,4,2001,26,15.4,6,1.5,"[0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·████·····················
physics,gravitational,decaying,1,2,2001,26,7.7,2,1.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·█········█···············
physics,function,decaying,26,26,2000,26,100.0,298,11.46,"[10, 20, 20, 18, 12, 25, 15, 13, 10, 19, 29, 31, 1, 1, 1, 4, 11, 12, 8, 6, 7, 8, 7, 6, 2, 2]",██████████████████████████
physics,distribution,decaying,26,26,2000,26,100.0,303,11.65,"[3, 8, 9, 13, 12, 20, 25, 22, 25, 29, 37, 34, 31, 5, 4, 4, 4, 5, 2, 2, 2, 2, 2, 1, 1, 1]",██████████████████████████
physics,motion,decaying,12,22,2014,26,84.6,53,2.41,"[2, 2, 1, 0, 3, 1, 1, 0, 1, 1, 2, 0, 2, 0, 1, 1, 3, 2, 3, 2, 4, 7, 8, 2, 2, 2]",███·███·███·█·████████████
physics,relativity,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,mass,decaying,12,20,2014,26,76.9,47,2.35,"[1, 1, 2, 3, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 4, 7, 2, 3, 6, 4, 3, 1, 1, 1]",███████·····█·████████████
physics,electromagnetic,decaying,1,4,2001,26,15.4,4,1.0,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",·█··█············█······█·
physics,constant,decaying,1,4,2000,26,15.4,4,1.0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",█···█·█··················█
physics,calculation,decaying,13,21,2013,26,80.8,111,5.29,"[3, 4, 1, 4, 3, 0, 0, 3, 0, 0, 1, 2, 0, 3, 4, 8, 7, 6, 12, 12, 12, 8, 6, 6, 3, 3]",█████··█··██·█████████████
physics,radiation,decaying,6,17,2013,26,65.4,45,2.65,"[1, 0, 1, 5, 3, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 1, 1, 2, 1, 0, 1, 1, 1, 4, 10, 8]",█·███·····█··██████·██████
physics,dna,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,universe,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,law,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,probability,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,possible,decaying,6,14,2020,26,53.8,28,2.0,"[1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 0, 3, 3, 3, 5, 1, 1]",█·······████··█·██··██████
