subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
physics,dtm,material,emerging,emerging,True,0.195214,4e-06,0.5936,12,57.7
physics,dtm,device,emerging,emerging,True,0.156239,0.000123,0.4657,11,42.3
physics,dtm,network,emerging,stable,False,-0.326838,0.27808,0.0488,21,84.6
physics,dtm,imaging,emerging,emerging,True,0.372991,1.4e-05,0.5512,8,30.8
physics,dtm,quantum,emerging,decaying,False,-0.747692,0.000711,0.3856,26,100.0
physics,dtm,photonic,emerging,emerging,True,0.095385,0.000119,0.4669,5,19.2
physics,dtm,neural_network,emerging,emerging,True,0.10359,0.009115,0.2511,3,11.5
physics,dtm,metasurface,emerging,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,topological,emerging,emerging,True,0.076581,0.002232,0.3279,4,15.4
physics,dtm,optical,emerging,stable,False,-0.256068,0.086045,0.1178,25,96.2
physics,dtm,flow,emerging,stable,False,-0.230769,0.313826,0.0422,26,100.0
physics,dtm,sensor,emerging,stable,False,0.059487,0.054396,0.1456,3,11.5
physics,dtm,image,emerging,emerging,True,0.187692,0.008105,0.2578,8,30.8
physics,dtm,dataset,emerging,emerging,True,0.02359,0.003335,0.3067,3,11.5
physics,dtm,datum,emerging,decaying,False,-0.554872,0.010222,0.2446,26,100.0
physics,dtm,design,emerging,emerging,True,0.092991,0.02216,0.1995,11,50.0
physics,dtm,accuracy,emerging,emerging,True,0.049915,8.1e-05,0.4834,7,26.9
physics,dtm,training,emerging,emerging,True,0.024274,0.028216,0.1852,2,7.7
physics,dtm,efficient,emerging,emerging,True,0.106667,0.018036,0.2117,7,30.8
physics,dtm,active,emerging,emerging,True,0.253333,7.9e-05,0.4841,7,26.9
physics,dtm,particle,stable,decaying,False,-1.351111,5e-06,0.5872,26,100.0
physics,dtm,frequency,stable,stable,True,-0.244786,0.206196,0.0657,26,100.0
physics,dtm,interaction,stable,decaying,False,-0.633846,0.003322,0.3069,26,100.0
physics,dtm,energy,stable,decaying,False,-2.05812,3e-06,0.6006,26,100.0
physics,dtm,laser,stable,stable,True,-0.156923,0.269342,0.0506,26,100.0
physics,dtm,order,stable,stable,True,-0.008547,0.960051,0.0001,20,96.2
physics,dtm,physics,stable,stable,True,0.046154,0.610546,0.011,15,96.2
physics,dtm,light,stable,stable,True,0.007863,0.953269,0.0001,26,100.0
physics,dtm,ion,stable,stable,True,0.014701,0.930678,0.0003,17,88.5
physics,dtm,structure,stable,decaying,False,-1.189744,3.4e-05,0.5183,26,100.0
physics,dtm,density,stable,stable,True,-0.065983,0.640378,0.0092,25,96.2
physics,dtm,property,stable,decaying,False,-0.41812,0.02075,0.2034,26,100.0
physics,dtm,surface,stable,stable,True,-0.117949,0.618251,0.0105,26,100.0
physics,dtm,dynamic,stable,decaying,False,-0.868718,0.001415,0.3514,26,100.0
physics,dtm,dimensional,stable,stable,True,-0.024615,0.836908,0.0018,18,96.2
physics,dtm,non,stable,stable,True,-0.189402,0.365342,0.0343,26,100.0
physics,dtm,field,stable,decaying,False,-2.139145,0.0,0.6784,26,100.0
physics,dtm,effect,stable,decaying,False,-1.44547,9e-06,0.5665,26,100.0
physics,dtm,rate,stable,stable,True,-0.018803,0.9166,0.0005,17,92.3
physics,dtm,wave,stable,decaying,False,-1.656068,4e-06,0.594,26,100.0
physics,dtm,atom,decaying,decaying,True,-0.522735,0.004984,0.2848,26,100.0
physics,dtm,theory,decaying,decaying,True,-1.795897,0.0,0.6671,26,100.0
physics,dtm,beam,decaying,decaying,True,-1.13641,8.2e-05,0.4829,26,100.0
physics,dtm,relativistic,decaying,decaying,True,-0.047521,0.009001,0.2518,2,15.4
physics,dtm,cluster,decaying,decaying,True,-0.040342,0.014549,0.2242,4,15.4
physics,dtm,gravitational,decaying,stable,False,-0.009573,0.183178,0.0726,1,7.7
physics,dtm,function,decaying,decaying,True,-0.642735,0.002099,0.3312,26,100.0
physics,dtm,distribution,decaying,decaying,True,-0.746325,0.012818,0.2316,26,100.0
physics,dtm,motion,decaying,emerging,False,0.12,0.012826,0.2315,12,84.6
physics,dtm,relativity,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,mass,decaying,stable,False,0.076239,0.113333,0.1012,12,76.9
physics,dtm,electromagnetic,decaying,stable,False,-0.002735,0.782653,0.0032,1,15.4
physics,dtm,constant,decaying,stable,False,-0.010256,0.295684,0.0455,1,15.4
physics,dtm,calculation,decaying,emerging,False,0.26906,0.003669,0.3015,13,80.8
physics,dtm,radiation,decaying,emerging,False,0.140513,0.028874,0.1838,6,65.4
physics,dtm,dna,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,universe,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,law,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,probability,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,dtm,possible,decaying,emerging,False,0.092308,0.006309,0.2718,6,53.8
