subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
math,2000,2001,48,48,19,28,0,0,1,0,29,39.58,58.33,0.0,0.0,2.08
math,2001,2002,48,47,11,37,0,0,0,0,36,22.92,77.08,0.0,0.0,0.0
math,2002,2003,47,49,14,31,0,0,2,0,35,29.79,65.96,0.0,0.0,4.26
math,2003,2004,49,48,18,30,0,0,1,0,30,36.73,61.22,0.0,0.0,2.04
math,2004,2005,48,49,19,29,0,0,0,0,30,39.58,60.42,0.0,0.0,0.0
math,2005,2006,49,50,21,28,0,0,0,0,29,42.86,57.14,0.0,0.0,0.0
math,2006,2007,50,50,22,28,0,0,0,0,28,44.0,56.0,0.0,0.0,0.0
math,2007,2008,50,50,24,26,0,0,0,0,26,48.0,52.0,0.0,0.0,0.0
math,2008,2009,50,50,25,25,0,0,0,0,25,50.0,50.0,0.0,0.0,0.0
math,2009,2010,50,50,31,19,0,0,0,0,19,62.0,38.0,0.0,0.0,0.0
math,2010,2011,50,50,28,22,0,0,0,0,22,56.0,44.0,0.0,0.0,0.0
math,2011,2012,50,50,34,16,0,0,0,0,16,68.0,32.0,0.0,0.0,0.0
math,2012,2013,50,50,36,14,0,0,0,0,14,72.0,28.0,0.0,0.0,0.0
math,2013,2014,50,50,41,9,0,0,0,0,9,82.0,18.0,0.0,0.0,0.0
math,2014,2015,50,50,41,9,0,0,0,0,9,82.0,18.0,0.0,0.0,0.0
math,2015,2016,50,50,44,6,0,0,0,0,6,88.0,12.0,0.0,0.0,0.0
math,2016,2017,50,50,41,9,0,0,0,0,9,82.0,18.0,0.0,0.0,0.0
math,2017,2018,50,50,43,7,0,0,0,0,7,86.0,14.0,0.0,0.0,0.0
math,2018,2019,50,50,42,8,0,0,0,0,8,84.0,16.0,0.0,0.0,0.0
math,2019,2020,50,50,44,6,0,0,0,0,6,88.0,12.0,0.0,0.0,0.0
math,2020,2021,50,50,42,8,0,0,0,0,8,84.0,16.0,0.0,0.0,0.0
math,2021,2022,50,50,43,7,0,0,0,0,7,86.0,14.0,0.0,0.0,0.0
math,2022,2023,50,50,44,6,0,0,0,0,6,88.0,12.0,0.0,0.0,0.0
math,2023,2024,50,50,48,2,0,0,0,0,2,96.0,4.0,0.0,0.0,0.0
math,2024,2025,50,50,48,2,0,0,0,0,2,96.0,4.0,0.0,0.0,0.0
